,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
132,0.32,76,0.334716797,0.074951172,-1.195068359,18.99,1008.86,73.02026862,56.67692308,-484.9025641,4.951477051,-1.86920166,-66.69616699
133,0.64,76,0.062988281,-0.124511719,-0.985595703,19.02,1008.89,56.52698413,70.17142857,-542.3291819,2.059936523,35.987854,-10.1852417
134,1.36,76,0.315917969,0.014404297,-1.026367188,19.01,1008.92,70.77118437,58.62612943,-541.2796093,7.080078125,-6.729125977,-33.7677002
135,0.24,76,0.134277344,0.236816406,-0.818359375,18.99,1008.9,60.72527473,63.72405372,-501.6957265,-12.23754883,22.49145508,-2.700805664
136,0.32,76,0.134765625,0.028076172,-1.013916016,18.99,1008.91,50.37948718,56.37704518,-503.9448107,5.157470703,0.923156738,-6.782531738
137,0.32,76,0.278564453,0.020507813,-0.926513672,18.99,1008.92,52.77851038,67.02271062,-551.4754579,2.532958984,-38.0859375,-5.706787109
138,0.56,76,0.184570313,-0.109619141,-0.890869141,18.99,1008.84,80.96703297,72.27057387,-497.197558,6.103515625,-1.38092041,-5.699157715
139,0.4,76,0.204345703,0.157226563,-0.967041016,18.98,1008.84,87.26446886,75.26935287,-498.3970696,15.41137695,-7.583618164,-16.13616943
140,0.48,76,0.13671875,0.429443359,-1.019042969,18.98,1008.82,89.96336996,78.41807082,-494.4986569,4.241943359,-22.41516113,-12.77160645
141,0.48,76,0.119384766,0.096923828,-0.909179688,19.01,1008.91,93.56190476,57.12673993,-492.5494505,16.81518555,-3.967285156,-48.62976074
142,0.73,76,0.217529297,-0.022705078,-1.152832031,18.98,1008.89,93.56190476,49.92967033,-434.0732601,23.04840088,-131.2484741,-49.53765869
143,0.81,76,-0.122558594,0.189453125,-0.921386719,18.98,1008.91,78.56800977,55.47741148,-494.04884,3.303527832,3.021240234,-10.81085205
144,0.56,76,0.193359375,0.071533203,-1.135009766,18.99,1008.91,56.22710623,60.12551893,-499.2967033,1.625061035,-8.590698242,-12.59613037
145,0.32,76,0.048339844,0.0625,-0.962890625,18.99,1008.85,75.71916972,43.33235653,-511.7416361,5.836486816,-2.822875977,-12.89367676
146,0.24,76,-0.215332031,0.670898438,1.308349609,18.99,1008.85,67.77240537,55.62735043,-501.5457875,57.54852295,249.9923706,-64.53704834
147,0.56,76,-0.370361328,-0.186035156,-0.973388672,19.01,1008.91,60.27545788,48.13040293,-503.6449328,8.407592773,-5.126953125,-10.03265381
148,0.4,76,0.158447266,0.042236328,-1.041503906,18.98,1008.92,71.37094017,68.37216117,-511.7416361,4.486083984,-3.50189209,-5.912780762
149,0.4,76,0.128173828,0.024414063,-0.972900391,18.98,1008.89,53.37826618,75.86910867,-519.9882784,4.241943359,-5.615234375,-5.554199219
150,0.4,76,0.176025391,0.052734375,-0.997558594,18.98,1008.85,54.57777778,75.26935287,-514.8903541,6.774902344,-5.77545166,-6.278991699
151,0.4,76,0.224365234,-0.011230469,-1.009521484,18.99,1008.86,54.72771673,74.81953602,-514.7404151,6.439208984,-4.219055176,-5.851745605
152,0.4,76,0.234130859,0.040039063,-0.989990234,18.98,1008.86,53.52820513,76.31892552,-516.9894994,6.324768066,-5.638122559,-5.226135254
153,0.4,76,0.273681641,0.035400391,-1.019042969,18.99,1008.84,53.52820513,74.96947497,-513.2410256,5.210876465,-4.64630127,-4.356384277
154,0.4,76,0.204101563,0.0390625,-0.995605469,18.98,1008.85,53.97802198,74.81953602,-515.7899878,6.866455078,-6.172180176,-5.554199219
155,0.48,76,0.116943359,0.010742188,-0.989746094,18.99,1008.89,70.62124542,76.31892552,-527.3352869,9.185791016,-5.737304688,-2.258300781
156,0.4,76,0.261962891,0.002929688,-1.155761719,18.99,1008.89,82.61636142,56.07716728,-467.0598291,3.204345703,-5.378723145,-5.142211914
157,0.4,76,0.1875,-0.071044922,-0.992675781,19.01,1008.85,62.97435897,75.11941392,-529.2844933,9.094238281,-8.850097656,-40.86303711
158,0.56,76,0.078613281,0.071533203,-0.882324219,19.03,1008.84,84.71550672,75.26935287,-493.5990232,4.104614258,-0.129699707,7.40814209
159,0.4,76,-0.2421875,-1.327148438,-2.731201172,19.03,1008.85,78.71794872,58.17631258,-496.2979243,-96.35925293,249.9923706,22.90344238
160,0.73,76,0.100097656,-0.127685547,-0.87890625,19.05,1008.76,94.16166056,70.47130647,-483.1032967,13.26751709,-25.60424805,-25.8026123
161,0.48,76,0.368896484,0.022705078,-1.446533203,19.05,1008.84,102.5582418,60.72527473,-467.359707,-4.280090332,10.08605957,28.83148193
162,0.56,76,-0.168701172,-0.115722656,-0.968505859,19.07,1008.91,66.72283272,53.52820513,-493.8989011,6.660461426,-12.84790039,-12.12310791
163,0.48,76,0.104248047,-0.024902344,-1.030029297,19.07,1008.93,66.72283272,59.97557998,-496.2979243,9.620666504,-1.853942871,-10.12420654
164,0.32,76,0.157958984,0.143066406,-0.929199219,19.1,1008.9,65.52332112,56.37704518,-497.047619,6.217956543,-5.126953125,1.457214355
165,0.16,76,0.431396484,0.202636719,-0.967041016,19.09,1008.89,67.47252747,61.17509158,-501.9956044,15.70129395,-41.78619385,12.02392578
166,0.4,76,0.169921875,-0.023925781,-1.219238281,19.1,1008.97,50.67936508,55.62735043,-510.0923077,0.396728516,-3.875732422,-12.52746582
167,0.4,76,-0.023193359,-0.273925781,-0.434326172,19.11,1008.83,60.27545788,66.72283272,-516.3897436,25.06256104,-111.7401123,1.449584961
168,0.56,76,0.159912109,0.068115234,-0.978759766,19.1,1008.85,76.91868132,57.87643468,-529.4344322,13.83972168,1.708984375,-54.10003662
169,0.48,76,0.634521484,0.560058594,-1.056396484,19.11,1008.82,85.76507937,68.52210012,-490.4503053,11.65008545,1.518249512,-10.71929932
170,0.56,76,0.048828125,0.077636719,-0.768798828,19.13,1008.91,90.41318681,80.36727717,-500.4962149,7.164001465,-26.05438232,-9.201049805
171,0.73,76,0.107421875,0.146728516,-0.942626953,19.13,1008.83,86.21489621,60.72527473,-494.6485958,11.67297363,-16.0446167,-4.959106445
172,1.2,76,0.200195313,0.147705078,-0.927734375,19.14,1008.87,97.46031746,61.32503053,-468.8590965,7.49206543,-7.125854492,-11.11602783
173,1.04,76,0.105224609,0.008789063,-1.062255859,19.15,1008.92,60.57533578,56.07716728,-499.1467643,5.386352539,-7.476806641,-6.072998047
174,1.04,76,0.168457031,0.025146484,-1.0234375,19.16,1008.86,59.37582418,58.32625153,-498.2471306,4.577636719,-4.196166992,-6.02722168
175,1.04,76,0.140869141,0.086181641,-0.9765625,19.17,1008.92,58.77606838,57.87643468,-499.1467643,5.340576172,-5.249023438,-6.530761719
176,1.04,76,0.121582031,0.033447266,-0.988525391,19.16,1008.84,58.32625153,58.62612943,-499.8964591,5.836486816,-5.126953125,-6.904602051
177,1.04,76,0.093505859,0.073486328,-1.005371094,19.17,1008.87,59.07594628,57.27667888,-499.2967033,5.996704102,-5.363464355,-7.461547852
